================================================================
SUMMARY — async upsert against every published Intel V4 fmspc
TCB_EVALS=19,20,21
================================================================
| EVAL | TEE | FMSPC        | STATUS           | TX GAS                                                                                                                   |  WALL |
| 20   | SGX | 00606C040000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2773021, upload_tcb_levels_batch_9_12=2954945, upload_tcb_levels_batch_12_15=3560598, finalize_async_upsert=4167358 |   58s |
| 20   | SGX | 00906EC10000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1143670, finalize_async_upsert=1259319  |   30s |
| 20   | SGX | 00806F050000 | OK               | start_async_upsert=406713, upload_basic_info=493157, upload_tcb_levels_batch_0_3=2379139, upload_tcb_levels_batch_3_6=3245747, finalize_async_upsert=2350150 |   37s |
| 20   | SGX | 00706E470000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1763946, upload_tcb_levels_batch_3_6=1909007, upload_tcb_levels_batch_6_9=2137254, upload_tcb_levels_batch_9_12=2339355, upload_tcb_levels_batch_12_15=2558938, finalize_async_upsert=3136960 |   58s |
| 20   | SGX | 00906EA10000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4813237 |   80s |
| 20   | SGX | 00906EA50000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4801618 |   79s |
| 20   | SGX | C0806F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_6=3021758, finalize_async_upsert=2299199 |   37s |
| 20   | SGX | 00A06E050000 | OK               | start_async_upsert=406713, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1498420, finalize_async_upsert=1397856  |   30s |
| 20   | SGX | 00A06D080000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2334492, finalize_async_upsert=1603909  |   30s |
| 20   | SGX | 20A06E050000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1498420, finalize_async_upsert=1403311  |   30s |
| 20   | SGX | 10A06F010000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_1=808936, finalize_async_upsert=1219872   |   30s |
| 20   | SGX | B0C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=493523, upload_tcb_levels_batch_0_3=2379151, upload_tcb_levels_batch_3_4=1323366, finalize_async_upsert=1890013 |   37s |
| 20   | SGX | 00606A000000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2687401, upload_tcb_levels_batch_9_12=2926379, upload_tcb_levels_batch_12_15=3560598, finalize_async_upsert=4136771 |   58s |
| 20   | SGX | 00806F000000 | OK               | start_async_upsert=406725, upload_basic_info=515049, upload_tcb_levels_batch_0_3=2380618, upload_tcb_levels_batch_3_6=3246776, finalize_async_upsert=2352384 |   37s |
